                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0116,                 1.0061,                 1.1709,                0.51706,                 0.4397,                0.43235,                0.29549,                 1.2896,                 1.7417,                 1.3918,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.0264,                0.98335,                 1.1711,                 0.5454,                0.42675,                0.42666,                0.29398,                 1.2715,                 1.7896,                 1.3492,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.0319,                0.99383,                 1.1737,                0.51998,                 0.4506,                0.44025,                 0.2972,                 1.3023,                 1.7528,                 1.3831,               0.009109,               0.009109,               0.009109
                     38,                 1.0321,                0.97434,                 1.1757,                0.54291,                0.43546,                0.44619,                0.30463,                 1.2811,                 1.7882,                   1.37,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.0278,                0.99631,                 1.1716,                0.50017,                0.47214,                0.44093,                0.30167,                 1.2647,                 1.6702,                 1.3454,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.0372,                0.99003,                 1.1738,                  0.489,                0.44795,                0.42655,                0.29909,                 1.2657,                 1.7236,                 1.3653,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.0186,                0.97327,                 1.1671,                0.53782,                0.43987,                0.45457,                0.31357,                 1.2684,                 1.6279,                  1.348,                0.00901,                0.00901,                0.00901
                     42,                 1.0197,                0.97258,                  1.167,                0.52301,                0.42969,                0.42236,                0.28983,                 1.2912,                 1.7872,                 1.3936,              0.0089853,              0.0089853,              0.0089853
                     43,                  1.021,                  0.971,                 1.1702,                0.50857,                0.45233,                 0.4387,                0.29851,                 1.3031,                 1.7141,                 1.3866,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.0145,                 0.9716,                 1.1606,                0.53088,                0.43899,                0.45448,                0.31182,                  1.291,                 1.6275,                 1.3799,              0.0089358,              0.0089358,              0.0089358
                     45,                  1.009,                0.97197,                 1.1608,                0.52184,                0.44171,                0.42179,                0.28673,                 1.3027,                 1.7472,                 1.3803,               0.008911,               0.008911,               0.008911
                     46,                 1.0073,                0.95269,                 1.1623,                0.47831,                0.47131,                 0.4492,                 0.3099,                 1.2959,                 1.7442,                 1.3844,              0.0088863,              0.0088863,              0.0088863
                     47,                0.99432,                0.93886,                 1.1482,                0.53355,                0.46479,                 0.4522,                0.30453,                  1.307,                 1.7697,                 1.3945,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.0083,                0.94181,                 1.1616,                0.54225,                0.46087,                0.44491,                0.30115,                 1.2977,                 1.6741,                 1.3803,              0.0088368,              0.0088368,              0.0088368
                     49,                0.99432,                0.93147,                 1.1595,                0.50153,                 0.4577,                0.44845,                0.31098,                 1.2709,                 1.6869,                 1.3587,               0.008812,               0.008812,               0.008812
                     50,                 1.0116,                 0.9512,                 1.1645,                0.48771,                 0.4604,                 0.4346,                0.29841,                 1.2817,                 1.7825,                 1.3786,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.0025,                0.93773,                 1.1588,                0.53361,                0.43996,                0.43832,                0.29739,                 1.3047,                 1.7039,                 1.3877,              0.0087625,              0.0087625,              0.0087625
                     52,                 1.0172,                0.93232,                 1.1464,                0.50774,                0.45063,                0.43711,                0.30081,                 1.2819,                 1.7429,                 1.3654,              0.0087378,              0.0087378,              0.0087378
                     53,                  1.005,                0.92529,                 1.1515,                0.53403,                0.45309,                0.45415,                0.30896,                 1.2701,                 1.7045,                 1.3611,               0.008713,               0.008713,               0.008713
                     54,                 1.0099,                0.93741,                 1.1566,                0.53958,                0.43943,                0.43393,                0.29511,                 1.2915,                 1.7273,                 1.3625,              0.0086882,              0.0086882,              0.0086882
                     55,                0.99195,                0.92796,                 1.1523,                0.50931,                0.47542,                0.45541,                0.31077,                 1.2665,                 1.6333,                 1.3527,              0.0086635,              0.0086635,              0.0086635
                     56,                 1.0027,                0.93553,                 1.1593,                0.49469,                0.45097,                0.42818,                0.28801,                 1.3155,                 1.8063,                 1.3885,              0.0086388,              0.0086388,              0.0086388
                     57,                 1.0095,                0.91968,                 1.1599,                0.51109,                0.46085,                0.45945,                0.31412,                 1.2843,                 1.6511,                 1.3763,               0.008614,               0.008614,               0.008614
                     58,                 1.0061,                0.94797,                 1.1589,                 0.5483,                0.44395,                0.45793,                0.31455,                 1.2874,                  1.737,                 1.3871,              0.0085893,              0.0085893,              0.0085893
                     59,                0.98882,                0.92816,                 1.1517,                0.51833,                0.45238,                0.44173,                0.30099,                 1.2836,                 1.6809,                 1.3672,              0.0085645,              0.0085645,              0.0085645
                     60,                 1.0091,                0.93077,                 1.1611,                0.51655,                0.45731,                0.43995,                0.29485,                 1.3006,                 1.7373,                 1.3835,              0.0085398,              0.0085398,              0.0085398
                     61,                0.98849,                0.91496,                 1.1557,                0.48662,                0.49837,                0.45405,                0.31532,                  1.277,                 1.6429,                 1.3613,               0.008515,               0.008515,               0.008515
                     62,                 1.0052,                0.91431,                 1.1542,                0.53255,                0.46969,                 0.4563,                0.31102,                 1.2768,                 1.6508,                 1.3709,              0.0084903,              0.0084903,              0.0084903
                     63,                0.97948,                0.91228,                  1.149,                0.51356,                0.46177,                0.44011,                0.29748,                 1.2961,                 1.7228,                 1.3829,              0.0084655,              0.0084655,              0.0084655
                     64,                 1.0021,                0.91916,                 1.1594,                0.55701,                0.45493,                0.46173,                0.31523,                 1.2664,                 1.6477,                 1.3493,              0.0084408,              0.0084408,              0.0084408
                     65,                0.99344,                0.89683,                 1.1463,                0.53062,                0.47889,                0.45749,                0.31143,                 1.2882,                 1.6648,                 1.3753,               0.008416,               0.008416,               0.008416
                     66,                0.98859,                0.90299,                 1.1478,                0.54758,                0.44849,                 0.4477,                0.30235,                 1.2844,                 1.7128,                 1.3914,              0.0083913,              0.0083913,              0.0083913
                     67,                0.96458,                0.88232,                   1.14,                0.56722,                0.43509,                0.45323,                0.31142,                 1.2962,                 1.7068,                 1.3946,              0.0083665,              0.0083665,              0.0083665
                     68,                0.97352,                0.89734,                 1.1414,                0.53915,                0.46264,                0.45533,                 0.3127,                 1.2681,                 1.6836,                 1.3665,              0.0083418,              0.0083418,              0.0083418
                     69,                0.98212,                0.88497,                   1.14,                0.56311,                0.43356,                0.46232,                0.32257,                 1.2811,                 1.6492,                   1.39,               0.008317,               0.008317,               0.008317
                     70,                0.97991,                0.86652,                 1.1354,                0.54072,                0.47143,                0.46279,                0.31606,                 1.2833,                 1.6802,                 1.3881,              0.0082922,              0.0082922,              0.0082922
                     71,                0.98641,                0.87284,                 1.1417,                0.51864,                0.48105,                0.45176,                0.31224,                 1.2712,                 1.6953,                 1.3607,              0.0082675,              0.0082675,              0.0082675
                     72,                0.97004,                0.87579,                 1.1384,                0.52863,                 0.4527,                 0.4426,                0.30422,                  1.278,                 1.7763,                 1.3771,              0.0082428,              0.0082428,              0.0082428
                     73,                0.97269,                0.86367,                 1.1341,                0.50995,                0.47563,                0.45808,                0.31754,                 1.2734,                 1.7313,                 1.3787,               0.008218,               0.008218,               0.008218
                     74,                0.97104,                0.86408,                 1.1375,                0.51439,                0.45519,                0.44265,                0.30425,                 1.2937,                 1.7329,                 1.3859,              0.0081932,              0.0081932,              0.0081932
                     75,                0.99328,                0.86478,                  1.142,                   0.53,                 0.4545,                0.44944,                0.30729,                 1.2888,                 1.6354,                  1.374,              0.0081685,              0.0081685,              0.0081685
                     76,                0.95679,                 0.8598,                 1.1303,                0.51036,                 0.4384,                0.43222,                0.29614,                  1.295,                 1.7669,                 1.3931,              0.0081437,              0.0081437,              0.0081437
                     77,                 0.9625,                0.86674,                 1.1305,                0.52871,                0.44495,                0.44491,                0.30623,                 1.2823,                 1.6853,                 1.3698,               0.008119,               0.008119,               0.008119
